National Center for Education Statistics
Computation by NCES PowerStats Version 1.0 on 3/25/2016
"Variance estimation method: BRR"
"Annualized salary for primary job in 2012 with (percent >.01), Annualized salary for primary job in 2012 0, Annualized salary for current job in 2009 with (percent >.01), Annualized salary for current job in 2009 0 by Gender, Job in 2012 related to bachelor's degree major, Occupation for primary job in 2012, Employment and enrollment status in 2012, Annualized salary for primary job in 2012, Annualized total salary for all jobs in 2012 and Annualized salary for current job in 2009."
" "

" ","Annualized salary for primary job in 2012
(%>0.01)"," ","Annualized salary for primary job in 2012
(Avg)"," ","Annualized salary for current job in 2009
(%>0.01)"," ","Annualized salary for current job in 2009
(Avg)"," "
" ","Pct.","95% CI","Amt.","95% CI","Pct.","95% CI","Amt.","95% CI"
" "
" --------- Gender = Totals ---------"
"Estimates"
"    Total",93.2392,[92.48615-93.92181],41934.6836,[41095.18750-42774.17969],84.0157,[82.96999-85.00871],29031.2109,[28360.55664-29701.86523]
" "
" "
"Job in 2012 related to bachelor's degree major"
"  Not related",100.0000,100.0000,34860.5664,[33038.75000-36682.38281],80.3887,[77.90926-82.65188],23027.2812,[21690.84766-24363.71484]
"  Closely related",100.0000,100.0000,48096.4453,[47035.98828-49156.90234],89.5655,[88.25772-90.74286],32872.7695,[31991.98633-33753.55469]
"  Somewhat related",100.0000,[99.99999-99.99999],47991.4688,[46420.69531-49562.24219],85.7823,[84.01724-87.38171],30772.0488,[29396.45898-32147.63867]
"  {Skipped}",‡,‡,‡,‡,‡,‡,‡,‡
" "
"Occupation for primary job in 2012"
"  Agriculture occupations",100.0000,100.0000,42609.7969,[35120.99609-50098.59766],99.0014,[94.08145-99.83855],32154.4824,[26226.27344-38082.69141]
"  Air transportation professionals",‡,[‡-‡],‡,[‡-‡],‡,[‡-‡],‡,[‡-‡]
"  Artists and designers",100.0000,[99.99999-99.99999],38550.1406,[35155.94531-41944.33594],83.3678,[77.16929-88.14201],25319.5938,[21453.41797-29185.76953]
"  Business managers",100.0000,[NaN-NaN],53131.3711,[48911.02344-57351.71875],92.1092,[89.54107-94.08834],36158.6016,[33543.73438-38773.46875]
"  Business occupations (non-management)",100.0000,100.0000,58549.5664,[56129.30859-60969.82422],90.9980,[87.77171-93.43677],38104.8203,[36069.41016-40140.23047]
"  Business/legal support (non-secretarial)",100.0000,[99.99999-99.99999],33090.2734,[31602.51562-34578.03125],82.9462,[79.70306-85.76372],23731.8301,[21968.82617-25494.83398]
"  Communication professionals",100.0000,100.0000,41406.2031,[36641.45312-46170.95312],83.5771,[76.62103-88.76694],22998.4922,[20160.03516-25836.94922]
"  Computer/information systems occupations",100.0000,[99.99999-99.99999],63943.6875,[60275.31250-67612.06250],90.3970,[85.88637-93.57396],41499.1758,[38471.26172-44527.08984]
"  Construction/mining occupations",100.0000,100.0000,39561.9141,[28386.15625-50737.67188],93.5313,[83.71310-97.60048],38798.5859,[31040.36719-46556.80469]
"  Engineering technicians",100.0000,100.0000,56810.9062,[43387.46484-70234.34375],81.3213,[61.53687-92.21632],36507.6250,[24147.57422-48867.67578]
"  Engineers",100.0000,100.0000,67766.7812,[63351.26172-72182.30469],96.2667,[93.12603-98.00320],47700.1680,[44513.30078-50887.03516]
"  Fitters, tradesmen and mechanics",100.0000,100.0000,45211.0195,[39952.67578-50469.36328],89.1313,[81.87987-93.70399],30966.0039,[25664.76562-36267.24219]
"  Food service occupations",100.0000,[NaN-NaN],21397.7559,[18672.57031-24122.94141],80.3428,[71.28465-87.06220],17492.6309,[14913.12988-20072.13086]
"  Healthcare professionals (non-nurses)",100.0000,100.0000,52208.2852,[48283.83203-56132.73828],57.5043,[49.80487-64.85614],14284.7783,[10827.20312-17742.35352]
"  Information professionals",100.0000,100.0000,32094.1055,[27926.97266-36261.23828],74.9955,[59.38594-86.01817],18092.0020,[14331.24609-21852.75781]
"  Legal professionals",100.0000,100.0000,64064.2305,[52637.34766-75491.10938],42.7571,[32.30859-53.89434],9402.6553,[5967.36230-12837.94824]
"  Life scientists",100.0000,[NaN-NaN],34305.5391,[28897.88477-39713.19141],91.7077,[76.21785-97.44665],26124.3516,[21736.58203-30512.12109]
"  Math-related occupations",100.0000,100.0000,53178.6484,[42987.96875-63369.32812],89.8642,[66.56927-97.52938],37369.9648,[24944.74609-49795.18359]
"  Military",100.0000,[99.99999-99.99999],65756.8906,[54574.25781-76939.52344],86.9395,[75.17823-93.60217],45205.3164,[33926.01172-56484.62109]
"  Nurses",100.0000,[99.99999-99.99999],52386.4062,[49891.36719-54881.44531],92.9681,[88.85824-95.63638],42008.1016,[39240.32422-44775.87891]
"  Other educators",100.0000,[99.99999-99.99999],30700.1172,[28184.15820-33216.07812],82.9263,[77.02579-87.55626],21520.5879,[18943.15820-24098.01758]
"  Other healthcare occupations",100.0000,[NaN-NaN],35511.2188,[33187.41406-37835.02344],83.9843,[78.97682-87.98057],26735.6426,[23537.99805-29933.28711]
"  Personal care occupations",100.0000,[NaN-NaN],27611.3828,[22485.92578-32736.83984],80.2747,[70.78933-87.23529],21514.7676,[16960.21094-26069.32422]
"  Physical scientists",100.0000,[99.99999-99.99999],53823.5039,[46650.95703-60996.05078],89.6907,[77.97300-95.53214],32832.7812,[25986.93359-39678.62891]
"  PK-12 educators",100.0000,[99.99999-99.99999],38196.4805,[35978.78906-40414.17188],89.9778,[87.21753-92.19528],26686.1406,[25565.62305-27806.65820]
"  Postsecondary educators",100.0000,[99.99999-99.99999],27542.8516,[24202.93164-30882.77148],80.3460,[74.44241-85.15772],20796.0371,[18429.60938-23162.46484]
"  Protective service occupations",100.0000,100.0000,50428.9883,[44049.78125-56808.19531],88.9855,[79.42088-94.41725],33851.8320,[28285.45117-39418.21094]
"  Sales occupations",100.0000,[99.99999-99.99999],44535.1016,[39518.18359-49552.01953],85.0686,[80.16810-88.92544],28398.1035,[25735.85742-31060.34961]
"  Secretaries and administrative assistants",100.0000,[99.99999-99.99999],33424.9688,[31311.41406-35538.52344],87.7022,[80.21171-92.61820],24802.6426,[22519.60547-27085.67969]
"  Social scientists",100.0000,100.0000,40505.0820,[34980.75000-46029.41406],82.5632,[71.34835-90.00338],24049.4844,[19391.04297-28707.92578]
"  Social service professionals",100.0000,[99.99999-99.99999],36610.4336,[34604.62109-38616.24609],85.7216,[81.61134-89.03649],23569.4492,[21555.82812-25583.07031]
"  Sports occupations",100.0000,100.0000,46574.7422,[20681.69531-72467.78906],87.9436,[68.51394-96.07106],31938.4121,[20125.49609-43751.32812]
"  Transport support occupations",100.0000,100.0000,35775.9531,[29717.13086-41834.77344],76.1141,[61.48825-86.41283],24733.9727,[17492.74805-31975.19727]
"  {Skipped}",#,#,#,#,54.5525,[49.75577-59.26622],17463.2852,[15489.86328-19436.70703]
" "
"Employment and enrollment status in 2012"
"  Full time, one job, enrolled",98.6073,[96.88715-99.38291],50505.2891,[46624.39453-54386.18359],92.0472,[88.84361-94.38898],35203.4336,[32771.69922-37635.16797]
"  Full time, one job, not enrolled",98.3957,[97.95464-98.74292],51034.1953,[49956.08594-52112.30469],88.2503,[87.18314-89.23950],32523.2383,[31720.29102-33326.18750]
"  Part time, one job, enrolled",96.3756,[91.02834-98.58530],17965.5508,[15756.99609-20174.10547],77.1396,[70.32410-82.77332],20571.2422,[17716.03125-23426.45312]
"  Part time, one job, not enrolled",98.3958,[96.69502-99.22836],21430.9902,[19491.94922-23370.03125],77.2351,[72.42972-81.41783],19973.4609,[17593.31250-22353.60938]
"  Multiple jobs, enrolled",100.0000,100.0000,29966.2676,[24084.89844-35847.63672],90.7059,[79.77430-96.02369],24058.0469,[18661.78125-29454.31250]
"  Multiple jobs, not enrolled",99.7836,[98.98453-99.95419],36708.7109,[32775.97266-40641.44922],89.7288,[85.61696-92.76442],29033.8418,[25552.22461-32515.45898]
"  Unemployed, enrolled",77.5121,[69.33690-84.01030],24256.9707,[20411.81445-28102.12695],70.5486,[62.18893-77.72216],21745.0996,[18173.46289-25316.73633]
"  Unemployed, not enrolled",77.9806,[73.36198-81.99499],23511.6895,[21231.93555-25791.44336],64.4206,[58.98171-69.51115],17484.8867,[15461.29395-19508.48047]
"  Out of the labor force, enrolled",74.9701,[69.43247-79.79636],23803.7070,[20405.60156-27201.81250],74.3927,[68.28166-79.67673],20907.8789,[18165.16016-23650.59766]
"  Out of the labor force, not enrolled",66.0122,[61.31490-70.41441],22410.4668,[19975.28125-24845.65234],72.0483,[67.69147-76.02565],22765.7910,[20518.23828-25013.34375]
"  {Skipped}",‡,‡,‡,‡,‡,‡,‡,‡
" "
"Annualized salary for primary job in 2012"
"  $1-15,599",100.0000,100.0000,8971.6533,[8640.60449-9302.70215],72.5304,[68.83471-75.94094],15351.2480,[13886.47754-16816.01953]
"  $15,600-26,999",100.0000,[NaN-NaN],21593.9023,[21361.86523-21825.93945],80.2391,[77.39087-82.80825],17280.6992,[16241.36719-18320.03125]
"  $27,000-39,999",100.0000,100.0000,33482.9180,[33302.96875-33662.86719],86.1749,[84.12106-88.00108],23649.4727,[22770.34375-24528.60156]
"  $40,000-75,999",100.0000,[99.99999-99.99999],53438.3086,[53004.45703-53872.16016],90.2546,[88.95954-91.41240],34566.6719,[33669.76562-35463.57812]
"  76,000 or more",100.0000,100.0000,103654.4062,[99489.65625-107819.15625],90.7472,[87.84007-93.01462],56405.4727,[53231.02344-59579.92188]
" "
"Annualized total salary for all jobs in 2012"
"  $1-20,899",97.6516,[95.58900-98.76226],13493.8857,[12767.03223-14220.73926],76.5665,[72.85531-79.91027],16374.2295,[14958.99414-17789.46484]
